MUNICIPIO;1 Dose (D1);2 Dose (D2);3 Dose (D3);Reforço Bivalente;1 Reforço;2 Reforço;3 Reforço;Dose Única* (DU);Dose Adicional** (DA)
POA;109536;100344;952;26542;71152;35900;330;2432;328
POLONI;5805;5643;65;1128;4480;1669;2;147;20
POMPEIA;19361;18023;42;1356;12303;5080;62;417;23
PONGAI;3276;3161;14;490;2289;1072;6;67;7
PONTAL;37686;35281;152;6838;25818;11154;40;1397;71
PONTALINDA;3853;3741;21;337;2731;1114;4;77;12
PONTES GESTAL;2409;2363;24;327;1770;821;0;52;10
POPULINA;4158;4028;26;850;3181;1669;2;83;18
PORANGABA;9084;8688;96;2445;6571;3832;27;196;27
PORTO FELIZ;51351;48899;181;8920;32803;14452;50;1063;119
PORTO FERREIRA;50409;47587;168;6198;35756;17164;96;1173;142
POTIM;21360;19986;54;2003;12481;5130;216;496;47
POTIRENDABA;16457;15671;60;1660;11027;3781;4;383;45
PRACINHA;3030;3003;43;967;2796;823;3;11;13
PRADOPOLIS;16974;16220;144;2983;11958;5510;61;554;65
PRAIA GRANDE;337883;305563;1779;74907;206435;104805;912;6388;927
PRATANIA;5414;5246;41;705;3722;1548;1;124;10
PRESIDENTE ALVES;3781;3609;5;482;2791;1309;1;86;10
PRESIDENTE BERNARDES;14685;13990;62;2619;10766;6315;161;211;47
PRESIDENTE EPITACIO;36772;34633;218;5924;23667;9857;38;616;72
PRESIDENTE PRUDENTE;215050;202767;853;33145;139762;66583;289;3872;732
PRESIDENTE VENCESLAU;34067;31222;101;4862;20562;9360;30;927;54
PROMISSAO;32873;31362;162;4341;23879;11415;25;854;69
QUADRA;3753;3498;33;743;2842;1554;36;113;10
QUATA;12572;12020;57;1646;8477;3949;19;263;29
QUEIROZ;3336;3195;23;227;2183;635;3;73;8
QUELUZ;9425;8482;24;950;5191;2277;466;152;8
QUINTANA;6390;6180;44;770;4369;1664;2;146;21
RAFARD;8870;8329;46;1529;5915;2808;59;182;21
RANCHARIA;27949;26694;138;4295;19155;8722;48;602;81
REDENCAO DA SERRA;4004;3831;30;977;2887;1623;1;79;11
REGENTE FEIJO;18738;17823;108;2571;12843;5931;23;357;111
REGINOPOLIS;9004;8896;40;4102;7824;2942;7;63;29
REGISTRO;59364;55234;356;11073;37022;15239;81;901;117
RESTINGA;6922;6559;73;921;4831;1864;17;151;15
RIBEIRA;3386;3230;17;783;2531;985;2;48;12
RIBEIRAO BONITO;11189;10618;118;2254;8198;4157;20;268;30
RIBEIRAO BRANCO;18339;17884;418;4469;14695;6932;57;357;30
RIBEIRAO CORRENTE;4641;4278;16;432;2602;1011;4;105;4
RIBEIRAO DO SUL;4419;4310;15;765;3664;1315;1;76;5
RIBEIRAO DOS INDIOS;2029;1984;4;279;1714;714;2;42;2
RIBEIRAO GRANDE;7834;7608;82;2305;6249;3674;57;167;36
RIBEIRAO PIRES;109781;102981;807;26576;76494;42650;145;2502;347
RIBEIRAO PRETO;642193;599032;4583;154592;443170;200891;1870;17401;2502
RIFAINA;4101;3945;13;552;2891;1180;7;80;21
RINCAO;9018;8771;160;2200;7096;3825;16;272;26
